movieId,title,genres
1678,Arzoo (1950),Musical|Romance            
1679,Sheesh Mahal (1950),Drama
1680,Samadhi (1950),Drama
1685,Banwra (1950),Drama
1692,Babul (1950),Drama
1700,Sangram (1950),Drama
1701,Bawre Nain (1950),Drama|Romance            
1704,Pyar (1950),Drama
1707,Nili (1950),Romance
1710,Meena Bazaar (1950),Drama
1713,Nirala (1950),Drama|Romance|Thriller            
1714,Madhubala (1950),Drama
1719,Birha Ki Raat (1950),Drama|Romance            
1721,Pehla Aadmi (1950),Drama|History            
1726,Nishana (1950),Drama|Romance            
1730,Hamari Beti (1950),Drama|Family            
1731,Aankhen (1950),Drama|Family            
1733,Jan Pahchan (1950),Drama|Romance            
1737,Tarana (1951),Drama|Romance            
1739,Jadoo (1951),Drama|Fantasy            
1740,Hulchul (1951),Drama
1745,Nadaan (1951),Romance
1746,Afsana (1951),Drama|Family            
1750,Sagai (1951),Drama
1752,Badal (1951),Action|Romance            
1753,Baazi (1951),Crime|Drama|Musical            
1754,Awaara (1951),Drama|Musical|Romance            
1763,Buzdil (1951),Drama|Family            
1768,Naujawan (1951),Drama
1770,Bahar (1951),Drama
1776,Madhosh (1951),Drama|Family|Musical            
1780,Deedar (1951),Musical|Romance            
1783,Nagina (1951),Mystery|Romance|Thriller            
1784,Dholak (1951),Comedy|Romance            
1785,Aaram (1951),Romance
1786,Albela (1951),Comedy|Drama|Musical            
1787,Sansar (1951),Drama|Family            
1788,Sanam (1951),Comedy|Drama|Romance            
1792,Do Sitare (1951),Drama|Romance            
1793,Pyar Ki Baten (1951),Romance
1796,Babla (1951),Drama
1806,Saiyan (1951),Drama|Family|Romance            
1807,Malhar (1951),Family|Drama            
1808,Sazaa (1951),Drama|Family            
1810,Ratnadeep (1951),Drama|Romance            
1814,Rajput (1951),Action|Drama            
1815,Hum Log (1951),Drama
1817,Kali Ghata (1951),Drama|Romance            
1823,Baghdad (1952),Adventure|Fantasy            
1825,Tamasha (1952),Drama
1826,Yatrik (1952),Drama
1833,Ashiana (1952),Drama|Romance            
1836,Zalzala (1952),Drama|Romance            
1837,Anand Math (1952),Biography|Drama|History            
1845,Sinbad Jahazi (1952),Adventure
1847,Amber (1952),Action|Adventure|Drama            
1854,Aandhiyan (1952),Drama
1858,Parchhain (1952),Drama|Family            
1860,Bewafa (1952),Drama|Romance            
1865,Saqi (1952),Fantasy|Romance            
1867,Jaal (1952),Crime|Thriller            
1868,Deewana (1952),Romance
1871,Mr. Sampat (1952),Comedy
1873,Sangdil (1952),Drama|Mystery|Romance            
1875,Shrimati Ji (1952),Comedy|Thriller            
1880,Aladdin and the Wonderful Lamp (1952),Adventure|Fantasy            
1884,Chhatrapati Shivaji (1952),Drama|History            
1887,Raja Harishchandra (1952),History
1894,The Savage Princess (1952),Action|Adventure|Drama            
1895,Anhonee (1952),Drama|Romance|Thriller            
1899,Daag (1952),Drama|Romance            
1903,Nau Bahar (1952),Drama|Family            
1907,Baiju Bawra (1952),Drama|Musical|Romance            
1911,Rahi (1953),Drama
1913,Dil-E-Nadan (1953),Romance
1917,Foot Path (1953),Comedy|Crime|Drama            
1918,Aas (1953),Romance
1921,Ladki (1953),Comedy
1925,Teen Batti Char Raasta (1953),Drama
1927,Alif-Laila (1953),Fantasy
1929,Aah (1953),Drama|Musical|Romance            
1930,Shole (1953),Drama
1940,Aurat (1953),Action|Adventure|Drama            
1941,Parineeta (1953),Drama|Romance            
1942,Baaz (1953),Action|Adventure|Musical            
1947,Do Bigha Zamin (1953),Drama
1948,Jeewan Jyoti (1953),Drama
1953,Laila Majnu (1953),Romance
1956,Thokar (1953),Drama|Family            
1957,Naulakha Haar (1953),Drama|History            
1964,Anarkali (1953),History|Musical|Romance            
1965,Rail Ka Dibba (1953),Drama
1966,Armaan (1953),Drama|Family            
1968,Humsafar (1953),Drama|Romance            
1972,Shikast (1953),Drama
1978,Jhansi Ki Rani (1953),Biography|Drama|History            
1981,Patita (1953),Drama
1982,Dhoon (1953),Drama|Romance            
1985,Aabshar (1953),Drama|Romance            
1986,Papi (1953),Crime|Drama            
1987,Shahenshah (1953),Action
1991,Daaera (1953),Drama
2006,Ferry' (1954),Drama|Family            
2009,Waris (1954),Drama|Family            
2012,Angarey (1954),Drama
2014,Alibaba and 40 Thieves (1954),Action|Adventure|Drama            
2015,Radha Krishna (1954),Fantasy
2017,Boot Polish (1954),Comedy|Drama|Family            
2018,Nagin (1954),Drama|Musical|Romance            
2020,Taxi Driver (1954),Musical|Romance            
2026,Chor Bazar (1954),Action|Drama            
2027,Aar-Paar (1954),Musical|Romance|Thriller            
2032,Lal Pari (1954),Adventure|Fantasy            
2033,Shri Chaitanya Mahaprabhu (1954),Biography
2035,Kavi (1954),Romance
2039,Shabab (1954),Drama|Romance            
2040,Badshah (1954),Action|Drama|Adventure            
2044,Mehbooba (1954),Adventure|Romance            
2046,Chandni Chowk (1954),Drama|Family            
2047,Shart (1954),Drama|Family            
2049,Bahut Din Huwe... (1954),Adventure|Drama|Fantasy            
2055,Suhagan (1954),Drama|Family            
2056,Baadbaan (1954),Drama|Family            
2061,Subah Ka Tara (1954),Romance
2065,Tulsidas (1954),Drama|History|Romance            
2066,Biraj Bahu (1954),Drama
2070,Hamlet (1954),Drama
2077,Miss Mala (1954),Comedy|Mystery            
2084,Baap Beti (1954),Drama
2086,Mirza Ghalib (1954),Biography|Drama|Musical            
2087,Adhikar (1954),Comedy|Drama|Romance            
2089,Ilzam (1954),Drama|Family|Romance            
2097,Amar (1954),Drama|Musical|Romance            
2098,Mayurpankh (1954),Adventure|Drama|Musical            
2101,Mastana (1954),Drama|Family            
2114,Shama Parwana (1954),Drama|Romance            
2115,Nastik (1954),Comedy|Crime|Drama            
2120,Naata (1955),Comedy|Drama|Romance            
2142,Devdas (1955),Drama|Musical|Romance            
2147,Naukari (1955),Drama|Family            
2154,Mr. & Mrs. '55 (1955),Comedy|Musical|Romance            
2155,Jhanak Jhanak Payal Baaje (1955),Drama|Musical|Romance            
2162,Uran Khatola (1955),Comedy|Fantasy|Musical            
2164,Railway Platform (1955),Comedy|Drama|Romance            
2167,Tangewali (1955),Drama|Family            
2173,Bandish (1955),Comedy|Drama|Musical            
2176,Milap (1955),Comedy|Drama            
2181,Naqab (1955),Romance
2182,Jagriti (1955),Comedy|Drama|Family            
2185,Abe Hayat (1955),Action|Adventure|Fantasy            
2188,Amanat (1955),Drama|Family            
2192,Jawab (1955),Comedy|Crime|Drama            
2194,Kundan (1955),Crime|Drama            
2198,Munimji (1955),Comedy|Musical|Romance            
2201,Sardar (1955),Biography
2202,Garam Coat (1955),Drama
2203,Marine Drive (1955),Action|Crime|Drama            
2207,Char Paise (1955),Action|Crime|Drama            
2210,Waman Avtar (1955),Musical
2211,Azaad (1955),Action|Adventure|Comedy            
2214,Bahu (1955),Drama|Family            
2215,Adil-E-Jahangir (1955),Drama
2218,Vachan (1955),Drama
2222,Insaniyat (1955),Action|Drama|Romance            
2223,Shree 420 (1955),Comedy|Crime|Drama            
2228,Seema (1955),Drama
2232,Dev Anand in Goa (Alias Farar) (1955),Action|Drama|Romance            
2234,Baap Re Baap (1955),Comedy|Drama|Family            
2235,House No. 44 (1955),Crime|Drama            
2237,Swami Vivekananda (1955),Biography
2238,Pehli Jhalak (1955),Action|Comedy|Crime            
2244,Bara-Dari (1955),Musical|Romance            
2245,Yasmin (1955),Musical|Romance            
2246,Parivar (1956),Comedy|Drama|Family            
2248,Ghulam Begum Badshah (1956),Drama|History            
2250,Taj (1956),Drama|Music            
2255,Khul Ja Sim Sim (1956),Action
2257,Shirin Farhad (1956),Adventure|Drama|Romance            
2258,Heer (1956),Romance
2261,Ek Shola (1956),Comedy|Drama|Romance            
2265,Bajrang Bali (1956),Fantasy
2267,Kismet Ka Khel (1956),Action|Crime|Drama            
2270,Devta (1956),Adventure|Drama            
2273,Aan Baan (1956),Romance
2274,Shatranj (1956),Drama|Family            
2276,Paisa Hi Paisa (1956),Comedy
2280,Sheikh Chilli (1956),Action|Adventure|Comedy            
2283,Chori Chori (1956),Comedy|Musical|Romance            
2290,Toofan Aur Deeya (1956),Drama|Family            
2292,Hatimtai (1956),Adventure|Fantasy            
2294,Aawaz (1956),Romance
2297,Naya Andaz (1956),Romance
2300,Pocket Maar (1956),Action|Crime|Drama            
2307,Durgesh Nandini (1956),Fantasy|Musical|Drama            
2308,Ek-Hi-Rasta (1956),Drama
2317,Samundari Daku (1956),Action
2318,Some Where in Delhi (1956),Comedy|Drama|Romance            
2325,Basant Bahar (1956),Drama|Musical|Romance            
2329,Mem Sahib (1956),Comedy|Drama|Romance            
2331,Rangin Raaten (1956),Romance
2332,Chhoo Mantar (1956),Comedy
2333,Bhai-Bhai (1956),Drama
2336,Funtoosh (1956),Comedy|Drama            
2339,Bandhan (1956),Drama
2340,Stay Alert (1956),Comedy|Drama            
2345,Bhagam Bhag (1956),Action|Comedy|Crime            
2347,Sailaab (1956),Drama|Family            
2351,C.I.D. (1956),Action|Crime|Musical            
2354,Ham Sab Chor Hain (1956),Comedy
2357,New Delhi (1956),Comedy|Drama|Musical            
2361,Halaku (1956),Adventure|Drama|Musical            
2362,Raj Hath (1956),Adventure|Drama|Romance            
2373,Baghdad Ka Jadu (1956),Action|Adventure|Fantasy            
2376,Naag Mani (1957),Adventure|Fantasy            
2383,Sharada (1957),Drama|Romance|Musical            
2384,Dekh Kabira Roya (1957),Comedy|Romance            
2385,Mirza Sahiban (1957),Romance
2389,Tumsa Nahin Dekha (1957),Musical|Romance            
2402,Mr. X (1957),Crime|Drama|Mystery            
2405,Payal (1957),Drama|Family            
2407,Paying Guest (1957),Comedy|Crime|Drama            
2412,Pardesi (1957),Adventure|Biography|History            
2415,Narsi Bhagat (1957),Biography
2416,Aaravalli (1957),Horror
2418,Apradhi Kaun? (1957),Mystery
2419,Bandi (1957),Drama|Family            
2421,Pyaasa (1957),Drama|Musical|Romance            
2422,Sheroo (1957),Drama|Family            
2423,Ek Gaon Ki Kahani (1957),Drama
2424,Hum Panchhi Ek Daal Ke (1957),Drama
2426,Bada Bhai (1957),Drama|Family            
2427,Aasha (1957),Comedy|Romance            
2434,Baarish (1957),Crime|Drama|Romance            
2437,Do Ankhen Barah Haath (1957),Comedy|Crime|Drama            
2439,Naya Daur (1957),Drama|Musical|Romance            
2440,Mother India (1957),Drama|Musical|Family            
2441,Agra Road (1957),Comedy|Romance|Thriller            
2444,Nau Do Gyarah (1957),Comedy|Romance|Thriller            
2445,Ek Saal (1957),Drama|Family|Romance            
2446,Changez Khan (1957),Action|Adventure|History            
2451,Miss Mary (1957),Comedy
2452,Bhabhi (1957),Drama
2454,Nausherwan-E-Adil (1957),Action|Adventure|Drama            
2455,Hill Station (1957),Romance
2458,Miss India (1957),Drama
2460,Do Roti (1957),Action|Comedy|Crime            
2464,Abhimaan (1957),Drama|Family|Romance            
2465,Arpan (1957),Drama|Thriller            
2468,Inspector (1957),Action
2470,Champakali (1957),Drama|Fantasy            
2473,Maa (1957),Drama|Romance            
2474,Mai Baap (1957),Comedy|Drama            
2476,Neel Mani (1957),Drama
2477,Gateway of India (1957),Comedy|Crime|Drama            
2480,Dushman (1957),Drama
2481,Kath Putli (1957),Drama|Family            
2482,Janam Janam Ke Phere: Alias Sati Anapurna (1957),Drama|Family            
2483,Kitna Badal Gaya Insaan (1957),Drama|Family            
2485,Ab Dilli Dur Nahin (1957),Drama
2486,Johnny-Walker (1957),Comedy|Romance            
2489,Fashion (1957),Drama|Family            
2490,Musafir (1957),Drama
2495,Aji Bas Shukriya (1958),Comedy|Drama|Musical            
2497,Khota Paisa (1958),Drama
2502,Sadhna (1958),Drama
2505,Sohni Mahiwal (1958),Musical|Romance            
2507,Talaaq (1958),Drama
2510,Panchayat (1958),Drama|Family            
2512,Yahudi (1958),Action|Drama|Romance            
2517,Howrah Bridge (1958),Musical|Thriller            
2518,Dulhan (1958),Drama
2521,Zimbo (1958),Adventure|Drama|Thriller            
2522,Solva Saal (1958),Comedy|Romance|Thriller            
2528,Raagini (1958),Drama|Family            
2529,Dilli Ka Thug (1958),Action|Comedy|Crime            
2531,Jailor (1958),Crime|Drama            
2532,Ghar Sansar (1958),Drama|Family            
2534,Chalti Ka Naam Gaadi (1958),Comedy|Musical|Romance            
2536,Madhumati (1958),Fantasy|Musical|Mystery            
2538,Piya Milan (1958),Action|Adventure|Drama            
2540,Mehndi (1958),Drama|Family            
2541,Do Phool (1958),Drama|Family            
2545,Mujrim (1958),Drama|Thriller            
2558,Night Club (1958),Crime|Drama            
2563,Zindagi Ya Toofan (1958),Drama
2564,Phagun (1958),Comedy|Drama|Musical            
2565,Amar Deep (1958),Musical|Romance            
2567,Farishta (1958),Crime|Drama|Family            
2569,Chal Baaz (1958),Action
